,Ethnicity,Gender,Age,Relationship Status,Industry,Education,Cost of Living,Annual Expenses,Annual Income
130,"White,Southeast Asian",Male,31-35,single,Transportation,Bachelor's Degree,81-90,141000,141000
133,Southeast Asian,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,62700,180000
134,"White,Asian",Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,270000,270000
135,White,Male,31-35,relationship,Professional & Business Services,Bachelor's Degree,91-100,75000,425000
136,White,Male,26-30,relationship,Healthcare,Master's Degree,71-80,54000,92000
137,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,130660,156000
138,Asian,Female,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,56669,56669
141,White,Male,61-65,relationship,Other Services,Master's Degree,71-80,110000,175000
143,Asian,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,120000,160000
145,Decline to state,Male,51-55,single,Financial Services,Master's Degree,91-100,95600,96000
146,"White,Asian,Hispanic or Latino",Female,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,51-60,6040000,7900000
148,White,Female,41-45,relationship,Financial Services,Master's Degree,61-70,98036,139860
149,Asian,Male,36-40,relationship,Energy,Master's Degree,71-80,125000,125000
150,"Asian,Southeast Asian",Female,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,491000,532000
151,"White,Asian",Male,26-30,single,Healthcare,Bachelor's Degree,61-70,154500,154500
152,White,Male,41-45,single,Engineering (NOT software),Bachelor's Degree,71-80,37450,37450
154,White,Female,46-50,relationship,Healthcare,Doctorate Degree,71-80,122800,122800
155,White,Male,21-25,relationship,Financial Services,Bachelor's Degree,71-80,12100,4030
156,White,Male,31-35,relationship,Healthcare,Doctorate Degree,81-90,351000,351000
158,White,Male,51-55,relationship,Financial Services,Master's Degree,71-80,564500,780000
162,"White,Pacific Islander",Female,36-40,relationship,Financial Services,Bachelor's Degree,81-90,108500,124000
168,Black or African American,Female,26-30,single,Military,"Some college, no degree",71-80,65611,65611
169,White,Male,36-40,relationship,Financial Services,Bachelor's Degree,61-70,290000,2080000
170,White,Male,41-45,single,Information Technology (incl. software engineering),Master's Degree,61-70,819565,1130115
171,White,Male,21-25,single,Public Administration (Civilian Government),"Some college, no degree",71-80,126853,140640
173,White,Male,26-30,relationship,Energy,Master's Degree,71-80,128860,150000
174,White,Male,31-35,relationship,Professional & Business Services,Master's Degree,71-80,25550,400000
176,White,Female,36-40,relationship,Education,Doctorate Degree,71-80,62400,62400
179,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,1-20,60000,300000
180,White,Female,41-45,relationship,Manufacturing,Doctorate Degree,61-70,437577,437577
186,"White,Asian",Non-binary,36-40,single,Information Technology (incl. software engineering),Master's Degree,81-90,80000,450000
188,Southeast Asian,Female,31-35,relationship,Professional & Business Services,Master's Degree,101-110,36000,190000
189,White,Female,36-40,relationship,Manufacturing,Bachelor's Degree,81-90,92000,328000
190,White,Male,36-40,relationship,Financial Services,Bachelor's Degree,71-80,120000,288000
191,White,Male,31-35,relationship,Military,Master's Degree,81-90,229000,229000
193,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,298000,655000
196,"White,Middle Eastern",Non-binary,36-40,single,Information Technology (incl. software engineering),Master's Degree,101-110,111500,190000
197,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,81-90,17500,112000
198,White,Male,21-25,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,122069,120840
201,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,125435,254500
204,White,Male,41-45,single,Information Technology (incl. software engineering),Master's Degree,71-80,205760,225670
206,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,10000,380000
207,White,Male,41-45,relationship,Construction,Bachelor's Degree,81-90,165000,165000
208,White,Male,51-55,relationship,Information Technology (incl. software engineering),Associate's Degree,71-80,90000,160000
209,White,Male,31-35,relationship,Information Technology (incl. software engineering),Doctorate Degree,81-90,3726000,3760000
210,White,Female,31-35,single,Financial Services,Bachelor's Degree,81-90,78709,78709
211,Decline to state,Male,21-25,single,Financial Services,Bachelor's Degree,71-80,320000,330000
212,White,Male,41-45,single,Information Technology (incl. software engineering),"Some college, no degree",31-40,1753040,1753040
215,White,Male,31-35,relationship,Professional & Business Services,Associate's Degree,71-80,323750,330000
217,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,145000,150000
218,White,Male,31-35,relationship,Healthcare,Master's Degree,61-70,261450,306645
219,White,Female,56-60,relationship,Military,Master's Degree,41-50,170000,170000
220,White,Male,36-40,single,Manufacturing,Bachelor's Degree,61-70,2925,130000
225,Decline to state,Male,26-30,single,Professional & Business Services,Master's Degree,51-60,45000,47000
227,White,Female,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,165000,470000
228,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,221000,229000
230,White,Male,41-45,relationship,Education,Master's Degree,71-80,247800,280000
231,"White,Asian",Female,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,174544,173333
233,Decline to state,Male,36-40,relationship,Financial Services,Bachelor's Degree,91-100,409500,451000
235,White,Male,36-40,single,Public Administration (Civilian Government),Master's Degree,71-80,117800,117800
237,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,217552,217552
238,White,Male,31-35,single,"Agriculture, Forestry, Fishing",Bachelor's Degree,61-70,118632,118632
239,Black or African American,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,206500,400000
240,"Asian,Southeast Asian",Male,26-30,single,Financial Services,Associate's Degree,71-80,72000,72000
241,White,Male,56-60,relationship,Healthcare,Doctorate Degree,61-70,50000,95000
243,Asian,Male,46-50,single,Information Technology (incl. software engineering),Master's Degree,61-70,65000,168000
244,White,Male,31-35,relationship,Information Technology (incl. software engineering),"Some college, no degree",71-80,200000,200500
246,Black or African American,Female,26-30,relationship,Healthcare,Bachelor's Degree,81-90,190000,190000
247,White,Male,36-40,relationship,Manufacturing,Doctorate Degree,51-60,194112,198000
248,White,Male,26-30,relationship,Media,Master's Degree,71-80,151600,193500
249,White,Male,46-50,relationship,Financial Services,Master's Degree,71-80,400000,565000
250,White,Male,31-35,relationship,Public Administration (Civilian Government),Master's Degree,71-80,102177,273500
